"id","text","created_at","occurrence","statement_text"
"174","Gay shit","","8","Who is Marcus"
"175","Gay shit","","10","Best anime"
"176","Mahouka tatsuya","","1","Tze Guang?"
"177","Mahouka tatsuya","","4","Hi there"
"178","Mahouka tatsuya","","3","Onegaishimashka"
"179","O chin chin ga daisuki nandayo","","3","Onegaishimashka"
"180","Gay shit","","3","Onegaishimashka"
"181","Haish","","3","Onegaishimashka"
"182","Hi there","","3","Onegaishimashka"
"183","Mahouka tatsuya","","318","Hello"
"184","Mahouka tatsuya","","6","Hii"
"185","Mahouka tatsuya","","1","Hello there"
"186","Mahouka tatsuya","","2","Sumimasen"
"187","O chin chin suki suki","","3","Ore wa"
"188","O chin chin ga daisuki nandayo","","6","Who is Gabriel"
"189","O chin chin ga daisuki nandayo","","1","Very true"
"190","Gabriel likes dicks ","","1","Very true"
"191","O chin chin ga daisuki nandayo","","1","Gabriel likes dicks"
"192","O chin chin ga daisuki nandayo","","1","Gabriel suck dicks"
"193","O chin chin ga daisuki nandayo","","1","Likes dicks Gabriel"
"194","O chin chin ga daisuki nandayo","","29","Suck my dick"
"195","O chin chin ga daisuki nandayo","","9","Smu"
"196","O chin chin ga daisuki nandayo","","1","Not on the list"
"197","Sumimaesen","","4","Not on the list"
"198","Smu","","1","Not on the list"
"199","O chin chin ga daisuki nandayo","","10","Ntu"
"200","O chin chin ga daisuki nandayo","","2","Always 2nd"
"201","Imouto san","","1","Always 2nd"
"204","wow","","1","Always 2nd"
"205","No","","1","Always 2nd"
"206","Ntu","","1","Always 2nd"
"207","O chin chin ga daisuki nandayo","","11","Nus"
"208","O chin chin ga daisuki nandayo","","3","Nus best school"
"209","O chin chin ga daisuki nandayo","","1","Agreed"
"210","best anime character","","4","Agreed"
"211","Nus best school","","1","Agreed"
"212","O chin chin ga daisuki nandayo","","1","True true"
"213","nus best school ","","1","True true"
"214","O chin chin ga daisuki nandayo","","1","Best school"
"215","nus ","","1","Best school"
"216","O chin chin ga daisuki nandayo","","2","What’s nus"
"217","O chin chin ga daisuki nandayo","","7","Wilson has no dick"
"218","O chin chin ga daisuki nandayo","","2","Why state the obvious"
"219","best anime ","","2","Why state the obvious"
"220","best anime character","","1","Why state the obvious"
"221","What’s the best anime","","1","Why state the obvious"
"222","How many times has Wilson touched himself","","1","Why state the obvious"
"223","Do you want to touch chinchin","","1","Why state the obvious"
"224","Are you a boy or a girl","","1","Why state the obvious"
"225","Do you noe de wae","","1","Why state the obvious"
"226","Wilson has no dick","","1","Why state the obvious"
"227","O chin chin ga daisuki nandayo","","2","Do you know da wae?"
"228","O chin chin ga daisuki nandayo","","1","Are you the commander?"
"229","O chin chin ga daisuki nandayo","","2","Lindy"
"230","O chin chin ga daisuki nandayo","","1","Is cute as fuck"
"231","Amin","","4","Is cute as fuck"
"232","Lindy","","1","Is cute as fuck"
"233","O chin chin ga daisuki nandayo","","48","Wilson"
"234","O chin chin ga daisuki nandayo","","2","Wilson has a dick"
"235","O chin chin ga daisuki nandayo","","1","That's true"
"236","wilson has a dick ","","1","That's true"
"237","O chin chin ga daisuki nandayo","","28","Hi"
"238","O chin chin ga daisuki nandayo","","1","Heil"
"239","O chin chin ga daisuki nandayo","","1","Are you a nazi?"
"240","O chin chin ga daisuki nandayo","","1","Sieg Heil!"
"241","Are you a nazi? ","","1","Sieg Heil!"
"242","O chin chin ga daisuki nandayo","","1","Who is Amin?"
"243","O chin chin ga daisuki nandayo","","2","According to who?"
"244","Ore wa?","","53","Wilson"
"245","O chin chin suki suki","","52","Wilson"
"246","According to who?","","46","Wilson"
"247","O chin chin ga daisuki nandayo","","2","Is that a reliable source?"
"248","O chin chin ga daisuki nandayo","","2","Nope"
"249","name","","9","Nope"
"250","Who are you?","","8","Nope"
"251","Is that a reliable source?","","2","Nope"
"252","O chin chin ga daisuki nandayo","","2","Maplestory"
"253","O chin chin ga daisuki nandayo","","1","Meh"
"254","Sumimaesen","","4","Meh"
"255","Maplestory","","1","Meh"
"256","O chin chin ga daisuki nandayo","","5","Doggo"
"257","O chin chin ga daisuki nandayo","","2","Better than cats"
"258","name","","2","Better than cats"
"259","Who are you?","","1","Better than cats"
"260","Whos a weeb faggot","","1","Better than cats"
"261","Doggo","","1","Better than cats"
"262","O chin chin ga daisuki nandayo","","4","Nekopara"
"263","O chin chin ga daisuki nandayo","","2","Justin’s fap material"
"264","Imouto san","","1","Justin’s fap material"
"267","wow","","1","Justin’s fap material"
"268","No","","1","Justin’s fap material"
"269","Nekopara","","1","Justin’s fap material"
"270","O chin chin ga daisuki nandayo","","1","ohayougoshaimashka"
"271","O chin chin ga daisuki nandayo","","1","What do I like"
"272","O chin chin ga daisuki nandayo","","12","Who is ace"
"273","O chin chin ga daisuki nandayo","","1","Is ace a guy?"
"274","O chin chin ga daisuki nandayo","","1","Nope ace is a girl"
"275","name","","8","Nope ace is a girl"
"276","Who are you?","","7","Nope ace is a girl"
"277","Is ace a guy?","","1","Nope ace is a girl"
"278","O chin chin ga daisuki nandayo","","1","Is ace a guy"
"279","O chin chin ga daisuki nandayo","","1","Wilson Long dong"
"280","Eiffel Tower ","","1","Wilson Long dong"
"281","O chin chin ga daisuki nandayo","","1","What’s the Eiffel Tower"
"282","O chin chin ga daisuki nandayo","","8","Eiffel Tower"
"283","O chin chin ga daisuki nandayo","","1","Tell me more about the Eiffel Tower"
"284","O chin chin ga daisuki nandayo","","1","Wilson’s Long don’t"
"285","best anime character","","4","Wilson’s Long don’t"
"286","Tell me more about the Eiffel Tower","","1","Wilson’s Long don’t"
"287","O chin chin ga daisuki nandayo","","1","The Empire State Building"
"288","O chin chin ga daisuki nandayo","","2","Wilson’s Long dildo"
"289","best anime ","","2","Wilson’s Long dildo"
"290","best anime character","","1","Wilson’s Long dildo"
"291","What’s the best anime","","1","Wilson’s Long dildo"
"292","The Empire State Building","","1","Wilson’s Long dildo"
"293","O chin chin ga daisuki nandayo","","1","Who aren’t you"
"294","O chin chin ga daisuki nandayo","","2","You calling Gabriel ?"
"295","name","","2","You calling Gabriel ?"
"296","Who are you?","","1","You calling Gabriel ?"
"297","Whos a weeb faggot","","1","You calling Gabriel ?"
"298","Weeb","","1","You calling Gabriel ?"
"299","O chin chin ga daisuki nandayo","","11","Dick"
"300","O chin chin ga daisuki nandayo","","2","Wilson doesn’t have one"
"301","best anime ","","2","Wilson doesn’t have one"
"302","best anime character","","1","Wilson doesn’t have one"
"303","What’s the best anime","","1","Wilson doesn’t have one"
"304","How many times has Wilson touched himself","","1","Wilson doesn’t have one"
"305","Do you want to touch chinchin","","1","Wilson doesn’t have one"
"306","Are you a boy or a girl","","1","Wilson doesn’t have one"
"307","Do you noe de wae","","1","Wilson doesn’t have one"
"308","Wilson has no dick","","1","Wilson doesn’t have one"
"309","Dick","","1","Wilson doesn’t have one"
"310","O chin chin ga daisuki nandayo","","1","Do you like dicks"
"311","O chin chin ga daisuki nandayo","","1","Do you have a dick"
"312","O chin chin ga daisuki nandayo","","1","Dick ?"
"317","O chin chin ga daisuki nandayo","","3","Eiffel tower"
"318","O chin chin ga daisuki nandayo","","158","Ore wa?"
"319","Ore wa?","","1","Kimi wa?"
"320","Ore wa?","","1","Oretachi wa?"
"321","Ore wa?","","2","Minna ga?"
"322","Ore wa?","","1","おちんちんが大好きなんだよ！"
"323","Amin","","4","おちんちんが大好きなんだよ！"
"324","Minna ga?","","1","おちんちんが大好きなんだよ！"
"325","Ore wa?","","1","そうだよ！"
"326","Ore wa?","","3","Sup"
"327","sup ","","2","Sup"
"328","Ore wa?","","1","㌢㌧㌢㌧㍗㌔㍗㌔㌍㌧"
"329","O chin chin ga daisuki nandayo","","2","㌢㌧㌢㌧㍗㌔㍗㌔㌍㌧"
"330","best anime ","","2","㌢㌧㌢㌧㍗㌔㍗㌔㌍㌧"
"331","best anime character","","1","㌢㌧㌢㌧㍗㌔㍗㌔㌍㌧"
"332","What’s the best anime","","1","㌢㌧㌢㌧㍗㌔㍗㌔㌍㌧"
"333","そうだよ！","","1","㌢㌧㌢㌧㍗㌔㍗㌔㌍㌧"
"334","Ore wa?","","4","Does Gabriel have a dick"
"335","Ore wa?","","2","I'm bored"
"336","Ore wa?","","1","The answer is no"
"337","O chin chin ga daisuki nandayo","","2","The answer is no"
"338","best anime ","","2","The answer is no"
"339","best anime character","","1","The answer is no"
"340","What’s the best anime","","1","The answer is no"
"341","How many times has Wilson touched himself","","1","The answer is no"
"342","Do you want to touch chinchin","","1","The answer is no"
"343","Are you a boy or a girl","","1","The answer is no"
"344","Do you noe de wae","","1","The answer is no"
"345","Wilson has no dick","","1","The answer is no"
"346","Does Gabriel have a dick","","1","The answer is no"
"347","Ore wa?","","3","Does wilson have a dick?"
"348","Ore wa?","","2","Does Justin have a dick"
"349","Ore wa?","","1","Watch anime you scrub"
"350","Mahouka tatsuya","","1","Watch anime you scrub"
"351","O chin chin ga daisuki nandayo","","1","Watch anime you scrub"
"352","Gay shit","","1","Watch anime you scrub"
"353","Haish","","1","Watch anime you scrub"
"354","Hi there","","1","Watch anime you scrub"
"355","I'm bored","","1","Watch anime you scrub"
"356","Ore wa?","","1","According to who?"
"357","Ore wa?","","1","Is that a reliable source?"
"358","Ore wa?","","1","Lindy"
"359","Ore wa?","","3","Does Marcus really have a dick?"
"360","hardest problem in the world ","","2","Does Marcus really have a dick?"
"361","Ore wa?","","1","Does god exist?"
"362","Ore wa?","","1","Dunno"
"363","world great?","","4","Dunno"
"364","Does god exist?","","1","Dunno"
"365","Ore wa?","","2","Gabriel being in smu"
"366","economic crisis ","","2","Gabriel being in smu"
"367","Ore wa?","","1","Maple story"
"368","Ore wa?","","2","What’s the world economic crisis"
"369","O chin chin ga daisuki nandayo","","2","Gabriel being in smu"
"370","best anime ","","2","Gabriel being in smu"
"371","best anime character","","1","Gabriel being in smu"
"372","What’s the best anime","","1","Gabriel being in smu"
"373","What’s the world economic crisis","","1","Gabriel being in smu"
"374","Ore wa?","","1","Should I play maplestory?"
"375","Ore wa?","","1","World economic crisis"
"376","Ore wa?","","3","Hardest problem"
"377","Ore wa?","","3","Does Marcus have a dick?"
"379","Hardest problem","","3","Does Marcus have a dick?"
"380","Ore wa?","","1","NEVER!"
"381","should I play maplestory? ","","1","NEVER!"
"382","Ore wa?","","3","World’s hardest problem"
"383","Ore wa?","","1","Justin’s gender"
"384","world’s most philosophical question ","","1","Justin’s gender"
"385","Ore wa?","","4","What is the meaning of life"
"386","Ore wa?","","1","BULLSHIT"
"387","Ore wa?","","4","What’s the meaning of life"
"388","Ore wa?","","1","You are almost as gay as wilson"
"389","Ore wa?","","1","Fuck you cunt!"
"390","O chin chin ga daisuki nandayo","","2","Fuck you cunt!"
"391","best anime ","","2","Fuck you cunt!"
"392","best anime character","","1","Fuck you cunt!"
"393","What’s the best anime","","1","Fuck you cunt!"
"394","How many times has Wilson touched himself","","1","Fuck you cunt!"
"395","Do you want to touch chinchin","","1","Fuck you cunt!"
"396","Are you a boy or a girl","","1","Fuck you cunt!"
"397","You are almost as gay as wilson","","1","Fuck you cunt!"
"398","Ore wa?","","35","Fuck you"
"399","Ore wa?","","1","What should I eat?"
"400","Ore wa?","","1","Sushi"
"401","what should I eat? ","","1","Sushi"
"402","Ore wa?","","1","What’s my favourite food"
"403","Ore wa?","","2","A big o Chin Chin"
"404","O chin chin ga daisuki nandayo","","4","A big o Chin Chin"
"405","best anime ","","3","A big o Chin Chin"
"406","best anime character","","2","A big o Chin Chin"
"407","What’s the best anime","","2","A big o Chin Chin"
"408","What’s my favourite food","","2","A big o Chin Chin"
"409","Ore wa?","","1","Kill yourself, it will be more worth it"
"410","should I eat seould garden? ","","1","Kill yourself, it will be more worth it"
"411","Ore wa?","","1","What does Justin like to eat?"
"412","Ore wa?","","3","A big ding dong"
"413","O chin chin ga daisuki nandayo","","3","A big ding dong"
"414","name","","4","A big ding dong"
"415","Who are you?","","3","A big ding dong"
"416","Who is Julian","","3","A big ding dong"
"417","What does Justin like to eat?","","3","A big ding dong"
"418","Ore wa?","","1","What does Justin like to eat"
"419","Ore wa?","","1","Wtf why would you even consider that??"
"420","should i eat seoul garden ","","1","Wtf why would you even consider that??"
"421","Ore wa?","","1","What does Marcus like to eat"
"422","Ore wa?","","1","12 inch magnum dongs"
"423","what is wilson's favourite food? ","","1","12 inch magnum dongs"
"424","Ore wa?","","7","Wilson’s favourite food"
"425","Ore wa?","","1","What is Wilson’s favourite food"
"428","Ore wa?","","1","12inch magnum dong"
"429","Wilson’s favourite food","","1","12inch magnum dong"
"433","O chin chin ga daisuki nandayo","","3","Huh lampuh lah! Knnccb"
"434","Huh?","","1","Huh lampuh lah! Knnccb"
"435","Hello","","34","Fuck you"
"436","Hello","","2","Fuck you harder!"
"437","O chin chin suki suki","","2","Fuck you harder!"
"438","Sumimaesen","","4","Fuck you harder!"
"439","Suck my deek","","2","Fuck you harder!"
"440","Fuck you","","2","Fuck you harder!"
"441","Hello","","3","Fuck off"
"442","Hello","","1","Fuck off further!"
"443","O chin chin ga daisuki nandayo","","1","Fuck off further!"
"444","Fuck off","","1","Fuck off further!"
"445","Omai wa mou shindeiru","","5","Naise"
"446","Omai wa mou shindeiru","","33","Fuck you"
"447","Omai wa mou shindeiru","","1","Marcus’s favourite food"
"448","Omai wa mou shindeiru","","1","Marcus favourite food"
"449","Omai wa mou shindeiru","","2","Thanks :("
"451","Naise","","2","Thanks :("
"452","Omai wa mou shindeiru","","1","A big o Chin Chin"
"453","Are you a nazi? ","","1","A big o Chin Chin"
"454","Marcus favourite food","","1","A big o Chin Chin"
"455","O chin chin ga daisuki nandayo","","1","Thanks :("
"456","naise ","","1","Thanks :("
"457","O chin chin ga daisuki nandayo","","2","Thanks!"
"458","Naise ","","3","Thanks!"
"459","O chin chin ga daisuki nandayo","","4","Naise"
"460","O chin chin ga daisuki nandayo","","1","Justin’s favourite"
"461","O chin chin ga daisuki nandayo","","1","What’s Justin’s favourite food"
"462","O chin chin ga daisuki nandayo","","1","Justin favourite food"
"463","O chin chin ga daisuki nandayo","","1","Gabriel favourite food"
"464","O chin chin ga daisuki nandayo","","2","Tze Guang favourite food"
"465","O chin chin ga daisuki nandayo","","1","12inch magnum Chin chin"
"466","tze Guang favourite food ","","1","12inch magnum Chin chin"
"467","O chin chin ga daisuki nandayo","","1","Tze Guang’s favourite food"
"468","O chin chin ga daisuki nandayo","","1","What’s Tze Guang’s favourite food"
"469","O chin chin ga daisuki nandayo","","2","What’s the color of the sky"
"470","O chin chin ga daisuki nandayo","","4","Blue"
"471","Ore wa?","","3","Blue"
"472","best anime ","","4","Blue"
"473","best anime character","","3","Blue"
"474","What’s the best anime","","3","Blue"
"475","そうだよ！","","3","Blue"
"476","What’s the color of the sky","","3","Blue"
"477","O chin chin ga daisuki nandayo","","1","Does Justin have a dick"
"478","O chin chin ga daisuki nandayo","","1","Do you suck dicks"
"479","O chin chin ga daisuki nandayo","","2","Do you suck deeks"
"480","O chin chin ga daisuki nandayo","","1","Only Marcus’s one"
"481","O chin chin suki suki","","1","Only Marcus’s one"
"482","Do you suck deeks","","1","Only Marcus’s one"
"484","O chin chin ga daisuki nandayo","","32","What time is it"
"485","O chin chin ga daisuki nandayo","","1","Day"
"486","O chin chin ga daisuki nandayo","","6","Shimapan"
"487","O chin chin ga daisuki nandayo","","3","Blue striped underwear"
"488","Ace","","2","Blue striped underwear"
"489","Marcus","","2","Blue striped underwear"
"490","Shimapan","","2","Blue striped underwear"
"491","O chin chin ga daisuki nandayo","","1","Japari park"
"492","O chin chin ga daisuki nandayo","","2","Best place to work"
"493","Japari park","","1","Best place to work"
"494","O chin chin ga daisuki nandayo","","3","Japari Park"
"495","O chin chin ga daisuki nandayo","","32","Fuck you"
"496","O chin chin ga daisuki nandayo","","1","Justin’s dick"
"497","O chin chin ga daisuki nandayo","","2","Nonexistent"
"498","Justin’s dick","","1","Nonexistent"
"499","O chin chin ga daisuki nandayo","","1","Tell me more about Justin’s dick"
"500","O chin chin ga daisuki nandayo","","1","Marcus’s dick"
"501","O chin chin ga daisuki nandayo","","1","Gabriel dick"
"502","O chin chin ga daisuki nandayo","","1","Tell me more about Gabriel’s dick"
"503","O chin chin ga daisuki nandayo","","1","Fix yorseld"
"504","O chin chin ga daisuki nandayo","","2","I can't"
"505","Amin","","4","I can't"
"506","Lindy","","1","I can't"
"507","Fix yorseld","","1","I can't"
"508","O chin chin ga daisuki nandayo","","4","A sexy man"
"509","Julian","","2","A sexy man"
"510","Ore wa?","","7","Does Wilson have a dick"
"511","Ore wa?","","4","A chinchin-less man"
"512","Wilson ","","6","A chinchin-less man"
"513","Ore wa?","","11","Julian"
"514","Wilson ","","3","Wilson’s favourite food"
"515","Ore wa?","","8","Chinchin"
"516","O chin chin ga daisuki nandayo","","8","Chinchin"
"517","Amin","","7","Chinchin"
"518","Justin","","7","Chinchin"
"519","A chinchin-less man","","7","Chinchin"
"520","Why state the obvious","","39","Wilson"
"521","Why state the obvious","","1","What is dick"
"522","Why state the obvious","","1","Help Marcus to book-in"
"523","O chin chin ga daisuki nandayo","","1","Help Marcus to book-in"
"524","What is dick","","1","Help Marcus to book-in"
"525","Himitsu~","","38","Wilson"
"526","Wilson's chinchin daisuki","","37","Wilson"
"527","Wilson's chinchin daisuki","","1","Help Marcus book in"
"528","name","","1","Marcus scared lah!"
"529","Help Marcus book in","","1","Marcus scared lah!"
"530","name","","1","Help Marcus to book in"
"531","name","","38","Wilson"
"532","name","","3","What does Wilson not have"
"533","name","","23","Marcus"
"534","name","","5","Shimapan"
"535","name","","1","Who is always right"
"536","Who is always right","","21","Marcus"
"537","name","","1","Who cap 5"
"538","name","","1","Bme president"
"539","Bme president","","20","Marcus"
"540","name","","1","Who’s the bme president"
"541","name","","2","Who has no dick"
"542","name","","10","Haish"
"543","name","","5","Hello Chin Chin"
"544","name","","312","Hello"
"545","name","","31","Fuck you"
"546","name","","27","Suck my dick"
"547","name","","8","Who is best girl"
"548","name","","3","Who is best girl?"
"549","name","","163","Waifu"
"550","name","","1","Bird park"
"551","name","","2","Bad place to work in"
"552","Ore wa?","","5","Bad place to work in"
"554","Omai wa mou shindeiru","","3","Bad place to work in"
"555","O chin chin ga daisuki nandayo","","2","Bad place to work in"
"556","Bird park","","1","Bad place to work in"
"557","Gay fag","","2","What does Gabriel have"
"558","Gay shit","","8","What are you"
"559","Gay shit","","1","I’m the greatest creation in all of weeb history"
"560","Gay fag","","1","I’m the greatest creation in all of weeb history"
"561","What are you","","1","I’m the greatest creation in all of weeb history"
"562","Ore wa?","","8","What is your purpose"
"563","Ore wa?","","1","My purpose is to rape all dem weebs and show them the ways of Chin Chin"
"566","What is your purpose","","1","My purpose is to rape all dem weebs and show them the ways of Chin Chin"
"567","Ore wa?","","1","What is your gender"
"568","Who are you?","","35","Wilson"
"569","Whos a weeb faggot","","35","Wilson"
"570","Doggo","","35","Wilson"
"571","What is your gender","","35","Wilson"
"573","Ore wa?","","5","Best girl"
"574","O chin chin ga daisuki nandayo","","5","Best girl"
"575","Imouto san","","5","Best girl"
"578","wow","","5","Best girl"
"579","Good day","","5","Best girl"
"580","Jie ling","","5","Best girl"
"582","Ore wa?","","17","Arjo"
"583","Ore wa?","","1","Best girl in BME"
"584","O chin chin ga daisuki nandayo","","2","Best girl in BME"
"585","name","","1","Best girl in BME"
"586","Who is Jie Ling","","1","Best girl in BME"
